SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Hf,Nb,Ni,Rb,Sr,Ta,Th,U,Y,Zr,Tectonic_Setting,LATITUDE,LONGITUDE
50.12,1.3,15.41,9.38,0.18,8.47,12.07,2.55,0.09,0.12,3.1,9.7,1.75,8.9,2.89,1.09,3.96,0.72,4.4,1.03,2.74,0.44,2.71,0.42,7.67,304.0,2.17,2.23,112.1,0.94,117.0,0.154,0.109,0.048,29.4,85.7,MORB,44.27,-129.75
50.66,2.36,13.57,12.69,0.21,6.04,10.67,2.75,0.22,0.22,6.0,18.5,3.3,16.2,5.33,1.8,7.13,1.21,8.07,1.77,5.07,0.708,4.73,0.714,21.1,133.0,4.04,5.39,55.3,2.37,120.0,0.357,0.305,0.123,46.3,154.0,MORB,13.0,-104.0
50.504,2.25,13.87,12.85,0.24,6.1,10.62,3.06,0.19,0.25,5.25,16.3,2.9,14.2,4.63,1.65,6.25,1.06,7.08,1.54,4.49,0.635,4.17,0.615,19.2,82.2,3.58,4.61,71.9,2.01,131.0,0.307,0.257,0.135,40.2,133.0,MORB,13.0,-104.0
50.724,2.57,13.22,13.75,0.23,5.62,10.06,3.3,0.21,0.2,5.98,18.7,3.31,16.5,5.35,1.92,7.27,1.25,8.35,1.82,5.29,0.752,4.95,0.737,20.5,14.0,4.22,5.23,31.6,2.22,126.0,0.355,0.297,0.119,47.1,155.0,MORB,44.27,-129.55
50.602,2.52,13.45,13.97,0.21,5.51,9.96,3.27,0.22,0.21,5.58,17.4,3.07,15.1,4.99,1.74,6.7,1.14,7.69,1.66,4.82,0.678,4.5,0.672,18.7,78.9,3.87,4.83,52.5,1.97,128.0,0.324,0.267,0.114,43.3,145.0,MORB,44.66,-130.33
50.39,2.24,13.48,12.49,0.21,6.11,10.59,2.72,0.19,0.22,7.8,24.3,4.26,20.8,6.66,2.31,9.03,1.51,10.3,2.2,6.45,0.907,5.98,0.888,23.1,4.36,5.41,6.58,29.7,2.55,132.0,0.438,0.368,0.158,57.1,203.0,MORB,-13.22,-112.33
50.37,2.49,13.07,13.61,0.2,5.5,10.01,2.9,0.2,0.24,6.72,21.2,3.78,19.0,6.21,2.21,8.4,1.43,9.69,2.09,6.04,0.851,5.71,0.845,21.7,43.51,4.88,5.77,47.2,2.41,148.0,0.39,0.315,0.134,54.2,176.0,MORB,13.0,-104.0
50.06,2.81,12.99,13.91,0.15,5.76,9.82,2.76,0.21,0.25,6.18,19.6,3.54,17.8,5.97,2.12,8.21,1.37,9.29,2.02,5.84,0.825,5.45,0.805,20.9,161.0,4.54,5.68,71.9,2.25,112.0,0.387,0.29,0.123,51.9,163.0,MORB,44.4,-130.2
50.434,2.07,14.65,11.1,0.2,6.87,11.4,2.71,0.19,0.25,5.46,16.8,2.93,14.3,4.64,1.64,6.32,1.06,7.07,1.52,4.47,0.629,4.14,0.617,20.4,229.0,3.62,4.89,71.0,2.33,134.0,0.322,0.27,0.113,39.7,135.0,MORB,44.3,-130.2
50.15,2.05,14.53,11.25,0.22,6.74,11.46,3.12,0.19,0.21,4.42,13.4,2.37,11.8,3.83,1.37,4.95,0.86,5.73,1.21,3.44,0.47,3.22,0.49,15.8,143.0,2.75,3.92,56.1,1.56,129.0,0.227,0.213,0.09,32.7,111.0,MORB,44.2,-129.7
49.98,2.01,14.87,11.51,0.2,6.7,11.36,2.99,0.2,0.19,5.39,16.1,2.74,13.4,4.19,1.49,5.34,0.93,6.2,1.33,3.69,0.5,3.5,0.53,20.7,158.0,3.06,5.23,69.0,2.11,155.0,0.31,0.263,0.114,35.8,129.0,MORB,44.3,-130.0
50.68,2.04,14.35,11.54,0.22,6.5,11.37,3.15,0.23,0.19,5.63,17.4,2.94,14.1,4.3,1.56,5.75,1.0,6.5,1.39,3.96,0.56,3.77,0.55,22.0,144.0,3.27,5.51,76.3,2.22,156.0,0.376,0.283,0.124,37.3,133.0,MORB,44.2,-129.5
